,modelo,km,color,precio,year
332,Model 3 ,0.0,azul,50060.0,2024
333,Model 3 ,0.0,azul,50060.0,2024
334,Model 3 ,0.0,negro,50060.0,2024
335,Model 3 ,3362.0,azul,50090.0,2024
336,Model 3 ,15.0,blanco,50110.0,2024
337,Model 3 ,0.0,blanco,50110.0,2024
338,Model 3 ,13.0,gris,50470.0,2024
339,Model 3 ,0.0,rojo,50760.0,2024
340,Model 3 ,0.0,gris,50760.0,2024
341,Model 3 ,0.0,azul,51110.0,2024
342,Model 3 ,0.0,negro,51110.0,2024
343,Model 3 ,0.0,azul,51110.0,2024
344,Model 3 ,0.0,blanco,51160.0,2024
345,Model 3 ,0.0,blanco,51410.0,2024
346,Model 3 ,0.0,azul,51410.0,2024
347,Model 3 ,0.0,negro,51410.0,2024
348,Model 3 ,0.0,azul,51410.0,2024
349,Model 3 ,0.0,gris,51410.0,2024
350,Model 3 ,0.0,gris,51660.0,2024
351,Model 3 ,0.0,azul,51660.0,2024
352,Model 3 ,0.0,negro,51660.0,2024
353,Model 3 ,0.0,blanco,51710.0,2024
354,Model 3 ,0.0,rojo,51810.0,2024
355,Model 3 ,0.0,gris,52110.0,2024
356,Model 3 ,0.0,rojo,52110.0,2024
357,Model 3 ,0.0,rojo,52110.0,2024
358,Model 3 ,0.0,gris,52110.0,2024
359,Model 3 ,0.0,rojo,52110.0,2024
360,Model 3 ,0.0,gris,52360.0,2024
361,Model 3 ,0.0,rojo,52360.0,2024
362,Model 3 ,0.0,rojo,52360.0,2024
363,Model 3 ,3543.0,blanco,52380.0,2024
364,Model 3 ,21.0,blanco,52460.0,2024
365,Model 3 ,3852.0,negro,54730.0,2024
366,Model 3 ,3325.0,gris,54930.0,2024
367,Model 3 ,1726.0,negro,55460.0,2024
368,Model 3 ,13.0,gris,56100.0,2024
369,Model 3 ,0.0,rojo,56820.0,2024
370,Model 3 ,21.0,rojo,57050.0,2024
371,Model 3 ,0.0,blanco,58470.0,2024
372,Model 3 ,0.0,gris,59470.0,2024
373,Model 3 ,0.0,azul,59770.0,2024
374,Model 3 ,0.0,negro,59770.0,2024
375,Model 3 ,0.0,negro,31400.0,2019
376,Model 3 ,0.0,negro,31600.0,2022
377,Model 3 ,0.0,rojo,33200.0,2021
378,Model 3 ,0.0,rojo,34100.0,2021
379,Model 3 ,0.0,negro,34900.0,2021
380,Model 3 ,0.0,blanco,35100.0,2023
381,Model 3 ,0.0,rojo,35300.0,2021
382,Model 3 ,0.0,gris,35900.0,2021
383,Model 3 ,0.0,rojo,35900.0,2021
384,Model 3 ,0.0,negro,36300.0,2021
385,Model 3 ,0.0,blanco,36700.0,2024
386,Model 3 ,0.0,blanco,36800.0,2024
387,Model 3 ,0.0,blanco,37000.0,2024
388,Model 3 ,0.0,rojo,37100.0,2022
389,Model 3 ,0.0,blanco,37300.0,2024
390,Model 3 ,0.0,blanco,37300.0,2024
391,Model 3 ,0.0,blanco,37500.0,2024
392,Model 3 ,0.0,azul,37900.0,2022
393,Model 3 ,0.0,negro,39600.0,2020
394,Model 3 ,0.0,rojo,42500.0,2024
395,Model 3 ,0.0,blanco,47700.0,2023
396,Model 3 ,0.0,rojo,50100.0,2023
397,Model X ,1703.0,azul,91210.0,2024
398,Model X ,3633.0,blanco,96120.0,2024
399,Model X ,5175.0,blanco,100710.0,2024
400,Model X ,3691.0,negro,100960.0,2024
401,Model X ,800.0,blanco,101340.0,2024
402,Model X ,1405.0,blanco,103050.0,2024
403,Model X ,3958.0,negro,103250.0,2024
404,Model X ,0.0,blanco,104370.0,2024
405,Model X ,195.0,gris,105010.0,2024
406,Model X ,23.0,blanco,110100.0,2024
407,Model X ,0.0,blanco,110270.0,2024
408,Model X ,0.0,negro,110370.0,2024
409,Model X ,2884.0,negro,110520.0,2024
410,Model X ,1442.0,gris,111210.0,2024
411,Model X ,0.0,rojo,111370.0,2024
412,Model X ,33.0,blanco,112420.0,2024
413,Model X ,0.0,negro,112770.0,2024
414,Model X ,0.0,azul,112770.0,2024
415,Model X ,0.0,blanco,113570.0,2024
416,Model X ,0.0,gris,113770.0,2024
417,Model X ,0.0,gris,113770.0,2024
418,Model X ,33.0,gris,114050.0,2024
419,Model X ,0.0,blanco,114670.0,2024
420,Model X ,0.0,rojo,114770.0,2024
421,Model X ,0.0,blanco,115670.0,2024
422,Model X ,0.0,negro,116170.0,2024
